Ano,UF,Partido,C,NECr,K,Massa de recursos %,Amplitude %,Distância relativa no corte %,Fronteira válida,Empate na fronteira,Candidatos com peso fracionário
2018,GO,PC DO B,3,1.0045748488831083,1,99.7719090612832,33.33333333333333,99.88569380857658,True,False,0
2018,GO,PCB,1,1.0,1,100.0,100.0,,False,False,0
2018,GO,PCO,1,1.0,1,100.0,100.0,,False,False,0
2018,GO,PDT,2,1.0,1,100.0,50.0,100.0,True,False,0
2018,GO,PHS,20,7.996844343058319,8,84.56401811991022,40.0,32.6797385620915,True,False,0
2018,GO,PMN,4,1.8995157623588,2,100.0,50.0,100.0,True,False,0
2018,GO,PODE,4,1.6864950264666756,2,99.70525594959287,50.0,98.9457390245642,True,False,0
2018,GO,PP,6,3.717634826942309,4,99.85798666584823,66.66666666666666,99.13451000051862,True,False,0
2018,GO,PPS,1,1.0,1,100.0,100.0,,False,False,0
2018,GO,PR,1,1.0,1,100.0,100.0,,False,False,0
2018,GO,PRB,1,1.0,1,100.0,100.0,,False,False,0
2018,GO,PROS,1,1.0,1,100.0,100.0,,False,False,0
2018,GO,PRP,4,1.109293190649776,1,94.86938625723056,25.0,96.34050886134916,True,False,0
2018,GO,PRTB,10,7.63384745039461,8,89.90392473801782,80.0,0.0,True,True,4
2018,GO,PSB,2,1.0,1,100.0,50.0,100.0,True,False,0
2018,GO,PSC,6,1.3951410644226399,1,83.04894433560277,16.666666666666664,80.20172201462262,True,False,0
2018,GO,PSD,5,2.748638458315878,3,85.18518518518519,60.0,41.66666666666667,True,False,0
2018,GO,PSDB,6,3.643512080344236,4,92.19847090029646,66.66666666666666,0.8919722497522299,True,False,0
2018,GO,PSL,9,1.1790044895614054,1,91.8901246818433,11.11111111111111,93.73644020812249,True,False,0
2018,GO,PSOL,16,13.141050510224606,13,93.80406153806892,81.25,18.912640988652758,True,False,0
2018,GO,PT,15,1.7913544597141466,2,80.68279893142967,13.333333333333334,0.6173902349034559,True,False,0
2018,GO,PTB,3,1.7613378910819444,2,93.72958707797697,66.66666666666666,71.37995842469459,True,False,0
2018,GO,PTC,11,1.4617589578321915,1,81.71567770351766,9.090909090909092,87.0425026214097,True,False,0
2018,GO,PV,5,4.361534424354454,4,92.7953923836803,80.0,63.889874454148476,True,False,0
2018,GO,REDE,7,4.896995264913721,5,100.0,71.42857142857143,100.0,True,False,0
2018,GO,SOLIDARIEDADE,1,1.0,1,100.0,100.0,,False,False,0
2018,MA,AVANTE,1,,0,,0.0,,False,False,0
2018,MA,DC,2,,0,,0.0,,False,False,0
2018,MA,DEM,2,1.4013782896949674,1,82.67898383371825,50.0,79.05027932960894,True,False,0
2018,MA,MDB,8,3.4869352412057855,3,92.50897896357107,37.5,89.35108153078203,True,False,0
2018,MA,PATRI,6,1.0,1,100.0,16.666666666666664,100.0,True,False,0
2018,MA,PC DO B,4,2.010749922357006,2,99.73197032973883,50.0,99.73125,True,False,0
2018,MA,PCB,2,2.0,2,100.0,100.0,,False,False,0
2018,MA,PDT,8,2.8911145811265877,3,93.33979954736502,37.5,60.629921259842526,True,False,0
2018,MA,PHS,12,6.051062020428785,6,99.53194476948279,50.0,97.14285714285714,True,False,0
2018,MA,PMB,3,1.0950226244343892,1,95.45454545454545,33.33333333333333,95.23809523809523,True,False,0
2018,MA,PMN,12,2.7919992768729274,3,78.23613086770982,25.0,40.0,True,False,0
